id,nom,departement,ville,cp,type,no2_2017,pm10_2017,pm25_2017,geometry,nb_equipements_ville
0931401T,Ecole primaire Paul Eluard,93,Bobigny,93000,primaire,32.11439670529215,20.01148844825309,12.215827513486149,"c(2.4442661119538, 48.9092950461894)",54
0931404W,Ecole maternelle Timbaud-Dewerpe,93,Drancy,93700,primaire,33.19427506923675,20.458283643141385,12.594283131361006,"c(2.45021989505316, 48.9264747254906)",58
0931407Z,Ecole maternelle Marcel Cachin,93,Dugny,93440,primaire,30.70287379264831,19.66701359735061,11.996878633499149,"c(2.4130835505149, 48.950802128347)",14
0931408A,Ecole maternelle Romain Rolland,93,Épinay-sur-Seine,93800,primaire,30.49089145660401,19.62278096348973,11.969896564483642,"c(2.33076133546784, 48.9544913296833)",54
0931409B,Ecole primaire Romain Rolland,93,Épinay-sur-Seine,93800,primaire,30.49089145660401,19.62278096348973,11.969896564483642,"c(2.33076133546784, 48.9544913296833)",54
0931410C,Ecole maternelle Albert Calmette,93,Les-Lilas,93260,primaire,35.36588761359454,20.35996855504349,12.404808812774718,"c(2.42564749369436, 48.8818492236397)",19
0931411D,Ecole maternelle Anne Frank,93,Montreuil,93100,primaire,35.13761265695096,20.37581879425901,12.428989241123196,"c(2.43319887081191, 48.8628184896353)",109
0931412E,Ecole primaire Paul Valéry,93,Neuilly-sur-Marne,93330,primaire,32.400934865474696,20.578601529925795,12.63107721567154,"c(2.52951844986304, 48.8651856521491)",34
0931413F,Ecole primaire Clos d'Ambert,93,Noisy-le-Grand,93160,primaire,29.210079879760745,19.835775970964672,12.0998233795166,"c(2.56239175496754, 48.8429537523788)",70
0931415H,Ecole maternelle Guillaume Apollinaire,93,Noisy-le-Sec,93130,primaire,32.85431446507573,20.06948080859989,12.232011699187568,"c(2.46685513557243, 48.8851532622916)",36
0931416J,Ecole maternelle Arthur Rimbaud,93,Noisy-le-Sec,93130,primaire,32.76381105184555,20.044894123260736,12.22699629187584,"c(2.4676675693394, 48.8857171522036)",36
0931417K,Ecole maternelle Jean Renoir,93,Noisy-le-Sec,93130,primaire,32.37300302505493,19.958159598584714,12.174039592742918,"c(2.46465048669445, 48.9016952542063)",36
